-> ulimit -n 100000
-> go run -exec sudo ./cmd/utrace -executable /home/matt/github/utrace/tracee/tracee |tee log.txt

could not attach uprobe to symbol runtime.etext: creating perf_uprobe PMU: symbol 'runtime.etext' not found: file does not exist
runtime.(*fixalloc).alloc 1 460867170837288 12093113149733
runtime.(*fixalloc).alloc 1 460867170837288 12093113152070
runtime.(*fixalloc).alloc 1 460867170837288 12093113154279
runtime.(*fixalloc).alloc 1 460867170837288 12093113158307
runtime.(*fixalloc).alloc 1 460867170837288 12093113164349
runtime.(*fixalloc).alloc 1 460867170837288 12093113166585
runtime.(*fixalloc).alloc 1 460867170837288 12093113169269
runtime.(*fixalloc).alloc 1 460867170837288 12093113171571
runtime.(*fixalloc).alloc 1 460867170837288 12093113173975
runtime.(*fixalloc).alloc 1 460867170837288 12093113176329
runtime.(*fixalloc).alloc 1 460867170837288 12093113178900
runtime.(*fixalloc).alloc 1 460867170837288 12093113181141
runtime.(*fixalloc).alloc 1 460867170837288 12093113183467
runtime.(*fixalloc).alloc 1 460867170837288 12093113185735
runtime.(*fixalloc).alloc 1 460867170837288 12093113188209
runtime.(*fixalloc).alloc 1 460867170837288 12093113190505
runtime.(*fixalloc).alloc 1 460867170837288 12093113192757
runtime.(*fixalloc).alloc 1 460867170837288 12093113195032
runtime.(*fixalloc).alloc 1 460867170837288 12093113197639
runtime.(*fixalloc).alloc 1 460867170837288 12093113200030
runtime.(*fixalloc).alloc 1 460867170837288 12093113202356
runtime.(*fixalloc).alloc 1 460867170837288 12093113204478
runtime.(*fixalloc).alloc 1 460867170837288 12093113206904
runtime.(*fixalloc).alloc 1 460867170837288 12093113209271
runtime.(*fixalloc).alloc 1 460867170837288 12093113211654
runtime.(*fixalloc).alloc 1 460867170837288 12093113213849
runtime.(*fixalloc).alloc 1 460867170837288 12093113216348
runtime.(*fixalloc).alloc 1 460867170837288 12093113218831
runtime.(*fixalloc).alloc 1 460867170837288 12093113221074
runtime.(*fixalloc).alloc 1 460867170837288 12093113223485
runtime.(*fixalloc).alloc 1 460867170837288 12093113226143
runtime.(*fixalloc).alloc 1 460867170837288 12093113228422
runtime.(*fixalloc).alloc 1 460867170837288 12093113230952
runtime.(*fixalloc).alloc 1 460867170837288 12093113233086
runtime.(*fixalloc).alloc 1 460867170837288 12093113235761
runtime.(*fixalloc).alloc 1 460867170837288 12093113238386
runtime.(*fixalloc).alloc 1 460867170837288 12093113240669
runtime.(*fixalloc).alloc 1 460867170837288 12093113243240
runtime.(*fixalloc).alloc 1 460867170837288 12093113245914
runtime.(*fixalloc).alloc 1 460867170837288 12093113248408
runtime.(*fixalloc).alloc 1 460867170837288 12093113250498
runtime.(*fixalloc).alloc 1 460867170837288 12093113252595
runtime.(*fixalloc).alloc 1 460867170837288 12093113255278
runtime.(*fixalloc).alloc 1 460867170837288 12093113257836
runtime.(*fixalloc).alloc 1 460867170837288 12093113260319
runtime.(*fixalloc).alloc 1 460867170837288 12093113262520
runtime.(*fixalloc).alloc 1 460867170837288 12093113265186
runtime.(*fixalloc).alloc 1 460867170837288 12093113267455
runtime.(*fixalloc).alloc 1 460867170837288 12093113269963
runtime.(*fixalloc).alloc 1 460867170837288 12093113272128
runtime.(*fixalloc).alloc 1 460867170837288 12093113274601
runtime.(*fixalloc).alloc 1 460867170837288 12093113276934
runtime.(*fixalloc).alloc 1 460867170837288 12093113279466
runtime.(*fixalloc).alloc 1 460867170837288 12093113281985
runtime.(*fixalloc).alloc 1 460867170837288 12093113284718
runtime.(*fixalloc).alloc 1 460867170837288 12093113287160
runtime.(*fixalloc).alloc 1 460867170837288 12093113289614
runtime.(*fixalloc).alloc 1 460867170837288 12093113291981
runtime.(*fixalloc).alloc 1 460867170837288 12093113294683
runtime.(*fixalloc).alloc 1 460867170837288 12093113297222
runtime.(*fixalloc).alloc 1 460867170837288 12093113299444
runtime.(*fixalloc).alloc 1 460867170837288 12093113301761
runtime.(*fixalloc).alloc 1 460867170837288 12093113304266
runtime.(*fixalloc).alloc 1 460867170837288 12093113306637
runtime.(*fixalloc).alloc 1 460867170837288 12093113308906
runtime.(*fixalloc).alloc 1 460867170837288 12093113311087
runtime.(*fixalloc).alloc 1 460867170837288 12093113313808
runtime.(*fixalloc).alloc 1 460867170837288 12093113316110
runtime.(*fixalloc).alloc 1 460867170837288 12093113318579
runtime.(*fixalloc).alloc 1 460867170837288 12093113320744
runtime.(*fixalloc).alloc 1 460867170837288 12093113323380
runtime.(*fixalloc).alloc 1 460867170837288 12093113325856
runtime.(*fixalloc).alloc 1 460867170837288 12093113328109
runtime.(*fixalloc).alloc 1 460867170837288 12093113330290
runtime.(*fixalloc).alloc 1 460867170837288 12093113332773
runtime.(*fixalloc).alloc 1 460867170837288 12093113335404
runtime.(*fixalloc).alloc 1 460867170837288 12093113337746
runtime.(*fixalloc).alloc 1 460867170837288 12093113340033
runtime.(*fixalloc).alloc 1 460867170837288 12093113342678
runtime.(*fixalloc).alloc 1 460867170837288 12093113344961
runtime.(*fixalloc).alloc 1 460867170837288 12093113347410
runtime.(*fixalloc).alloc 1 460867170837288 12093113349810
runtime.(*fixalloc).alloc 1 460867170837288 12093113352477
runtime.(*fixalloc).alloc 1 460867170837288 12093113354893
runtime.(*fixalloc).alloc 1 460867170837288 12093113357173
runtime.(*fixalloc).alloc 1 460867170837288 12093113359396
runtime.(*fixalloc).alloc 1 460867170837288 12093113361951
runtime.(*fixalloc).alloc 1 460867170837288 12093113364312
runtime.(*fixalloc).alloc 1 460867170837288 12093113366780
runtime.(*fixalloc).alloc 1 460867170837288 12093113369036
runtime.(*fixalloc).alloc 1 460867170837288 12093113371591
runtime.(*fixalloc).alloc 1 460867170837288 12093113374092
runtime.(*fixalloc).alloc 1 460867170837288 12093113376558
